1,0,-1,0,0,0,0,0,0,0,0,0
0,1,-1,0,0,0,0,0,0,0,0,0
-1,-1,4,0,-1,0,0,-1,0,0,0,0
0,0,0,1,-1,0,0,0,0,0,0,0
0,0,-1,-1,3,-1,0,0,0,0,0,0
0,0,0,0,-1,1,0,0,0,0,0,0
0,0,0,0,0,0,1,-1,0,0,0,0
0,0,-1,0,0,0,-1,4,-1,-1,0,0
0,0,0,0,0,0,0,-1,1,0,0,0
0,0,0,0,0,0,0,-1,0,3,-1,-1
0,0,0,0,0,0,0,0,0,-1,1,0
0,0,0,0,0,0,0,0,0,-1,0,1
0.16510038793703624,0.16510038793703602,0.13677363967315959,0.39858759571065266,0.33020077587407276,0.39858759571065266,-0.16510038793703596,-0.13677363967315936,-0.16510038793703596,-0.330200775874073,-0.3985875957106527,-0.3985875957106527
{1,2,3,4,5,6},{7,8,9,10,11,12}
